Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
17/06/2023 20:16;andi;886934161;andihiyat;886934161;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"Dan Halle Bailey emang pantas memerankan diri sebagai Ariel, no debat. Pas scene nyanyi lagu 'Part of Your World' It's so Beautiful.

Eh tapi buat gua filmya sendiri ngga ngebosenin sih, Sebastian, Flounder, sama Scuttle menurut gua kocak abis wkwkwk https://t.co/lJKdYXOLuh";;;32;1,67E+18
17/06/2023 18:24;ciel ?;1,51E+18;reialovesrin;1,67E+18;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@reialovesrin g tw jg si mending tanya mbak halle bailey;;;0;1,67E+18
17/06/2023 17:22;Izzat ?;7,85E+17;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;Siapa rasa Halle Bailey tak lawa boleh pi consult mata dekat specialist bcs LOOK AT HER https://t.co/hYfz75hNGR https://t.co/it0Uc8pqLr;;;1;1,67E+18
17/06/2023 15:43;aa;1,09E+18;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"https://t.co/2fbRjisKZq
padahal Halle Bailey cantikk and CGI nya juga kerenn sangat memanjakan mata tapi kenapa banyak yg bilang LA the little mermaid jelek sii :(";;;0;1,67E+18
17/06/2023 12:45;sanset cuy;8,86E+17;;-1;in;<a href='https://dlvrit.com/' rel='nofollow'>dlvr.it</a>;Halle Bailey: Penyanyi dan Aktris yang Menjadi Pemeran Ariel dalam The Little Mermaid. https://t.co/jKyZUQQkCI https://t.co/SRsqCpNhKX;;;0;1,67E+18
17/06/2023 12:42;rotibul haddad;8,86E+17;;-1;in;<a href='https://dlvrit.com/' rel='nofollow'>dlvr.it</a>;Halle Bailey: Penyanyi dan Aktris yang Menjadi Pemeran Ariel dalam The Little Mermaid https://t.co/ZwcxOEvyPD https://t.co/c56nZ0mv5T;;;0;1,67E+18
17/06/2023 12:26;kapanlagicom;31355801;;-1;in;<a href='https://dlvrit.com/' rel='nofollow'>dlvr.it</a>;Halle Bailey: Penyanyi dan Aktris yang Menjadi Pemeran Ariel dalam The Little Mermaid https://t.co/FngqLU7cgL;;;0;1,67E+18
17/06/2023 04:01;aeri;2214064626;;-1;in;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @theyovth: Lagi dan lagi masalah ini film. Cepet2 kelar deh. Emang aneh tau filmnya. Halle Bailey is a pretty young lady but Ariel love…;;;1;1,67E+18
17/06/2023 01:12;Popbela.com;1079628559;;-1;in;<a href='https://dlvrit.com/' rel='nofollow'>dlvr.it</a>;RT @Popbela_com: Pesona Halle Bailey, Pancarkan Aura Princess yang Menawan https://t.co/saN1WR0NpX;;;1;1,67E+18
16/06/2023 21:07;deswa anhari;1,35E+18;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"RT @TarizSolis: Menikmati banget 'The Little Mermaid' yg memberiku banyak kegembiraan. 

Ku tertawa karena humornya, ku gemas menyaksikan m…";;;322;1,67E+18
16/06/2023 20:49;meadow??.??*:?AMETHYSTTWT REVIVAL;1,38E+18;cybrgrrrl;1,38E+18;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"LUCINDA TALKALOT

halle bailey (@/hallebaiey on ig) https://t.co/yCx7W9yBBp";;;0;1,67E+18
16/06/2023 20:39;Upi;307160891;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @txtanakbioskop: Tentunya film ini juga membawa pesan atau campaign dengan tujuan menekankan adanya gap rasisme sehingga penonton akan m…;;;1;1,67E+18
16/06/2023 20:38;Upi;307160891;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @txtanakbioskop: Jatuh cinta pada pandangan ke sekian kali. Itulah aku saat dapet klik dari Halle Bailey pas nyanyi lagu pertama yang be…;;;1;1,67E+18
16/06/2023 20:06;SiPalingBioskop;1,19E+18;txtanakbioskop;1,19E+18;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"Tentunya film ini juga membawa pesan atau campaign dengan tujuan menekankan adanya gap rasisme sehingga penonton akan mendapatkan jawaban,

kenapa harus Ariel?
kenapa harus Halle Bailey? https://t.co/H2S0Ul4GGA";;;1;1,67E+18
16/06/2023 20:00;SiPalingBioskop;1,19E+18;txtanakbioskop;1,19E+18;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"Jatuh cinta pada pandangan ke sekian kali. Itulah aku saat dapet klik dari Halle Bailey pas nyanyi lagu pertama yang berjudul 'Part of Your World'.

Seakan memang Halle Bailey ditakdirkan untuk menjadi Ariel.

She has the best voice of all the princesses. https://t.co/qvVYGrs48G";;;1;1,67E+18
16/06/2023 18:17;???;162706965;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;For me halle bailey lawa je. Tp entah lah tak menarik langsung TLM live action tu. N then i x berapa gemor suara dia nyanyi. I prefer the original. Halle bailey punya version macam keras. My 2 cents. Dont come at me ok https://t.co/zt6iABZ7ZR;;;0;1,67E+18
16/06/2023 18:15;???;162706965;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;Wehhhh kejihhhhh. Halle bailey tu lawo je laaaaaaaah. Tak baik eakkkkkk https://t.co/1imeJQPjPo;;;0;1,67E+18
16/06/2023 16:48;Luqman Karim;7,13E+17;LadyHazrose87;27390834;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@LadyHazrose87 @warnabilla Eh bukaaannn! Bukan halle berry kak, halle bailey ??;;;0;1,67E+18
16/06/2023 15:44;AK-47 ?;2223678396;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;SIAL SIAPA KATA HALLE BAILEY BURUK TU PUKEEEYYYYYY?!?!?!;;;0;1,67E+18
16/06/2023 15:23;Bell;157557048;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;Ok je Ariel by Halle Bailey nie. Lawa je. Cumanya tak suka lah nilai murni dia yang dia sanggup tinggalkan hidup & family untuk lelaki yg dia nampak setengah jam je. Mendeee, tak bagus langsung. Lemah https://t.co/UHy3MpuIpK;;;0;1,67E+18
16/06/2023 14:05;Qiqin ??;230745807;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;Bila cakap benda tak best pasal Halle Bailey atau The Little Mermaid je mesti kena tuduh racist.. Suara Halle Bailey tu sedap nak mampos masa dengar kat wayang lagu Part of Your World meremang rasa nak nanges. Tapi tu ahh Halle tu sumpah tak pandai berlakon.;;;0;1,67E+18
16/06/2023 13:40;Skill Academy by Ruangguru;1,17E+18;skillacademy_id;1,17E+18;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;Kembali lagi ke Little Mermaid, tentu saja diversity marketing bukan satu-satunya alasan Halle Bailey terpilih sebagai Ariel, ya.;;;0;1,67E+18
16/06/2023 13:40;Skill Academy by Ruangguru;1,17E+18;skillacademy_id;1,17E+18;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;Hal yang paling di-highlight oleh penikmat film adalah warna kulit dari karakter Ariel yang diperankan oleh Halle Bailey yang merupakan aktris dan penyanyi berkulit hitam.;;;0;1,67E+18
16/06/2023 13:39;syahbandar #daulatrakyat?;485789215;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;Comey kot Halle Bailey. Aku jealous melihat kecomelan dan kecantikan dia. Ada hati cakap dia tak lawa ?;;;0;1,67E+18
16/06/2023 12:16;??;1,28E+18;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;btw terngiang ngiang suara halle bailey bagus bgt ? cepetan rilis album solo gih ?? tipe aku bgt suara nya nih;;;0;1,67E+18
15/06/2023 23:42;H.?;240986172;syazwanimustfh;240986172;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;and halle bailey cantik ok kalau tak cantik takde director casting dia jadi lm, suara dia pun sedap nak die dalam ni cuma rambut dia tu je nampak kureng;;;0;1,67E+18
15/06/2023 21:08;ciia °??;1,62E+18;;-1;in;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;nangiss halle bailey cantik bangetttttttt suaranya indah ?;;;0;1,67E+18
15/06/2023 19:04;i am a dreamer ? hisomu power;1,14E+18;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;Aku rasa org Disney pilih Halle Bailey ni sebab muka dia jenis acquired taste. Pastu mata dia macam ala2 ikan. PENDAPAT AKU LA. https://t.co/qhd6o1qDQI;;;0;1,67E+18
15/06/2023 18:38;LOONA is free ????;1,03E+18;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;YASSSS part rambut tu mmg aku paling setuju mmg x berkenan dgn rambut ariel sbb rambut dia dreadlocks??? Disney princess mana rambut dreadlocks??? aku rasa dorg sabotage Halle Bailey lah https://t.co/OICLlGTIpj;;;0;1,67E+18
15/06/2023 18:26;Darkness Cannot Prevail Against the Light;40788526;arfdy12;218741921;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@arfdy12 Not a racist view jugak - rasanya watak ariel ni mcm bgs jugak kalau the real red hair yg jd pelakonnya. Tp ye la xde red hair yg sebagus halle Bailey ni kot;;;0;1,67E+18
15/06/2023 17:21;mai;2823587046;arfdy12;218741921;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@arfdy12 Saya suka live movie dia. Plot sama dgn kartun. Rasa nk tgk lgi sbb xpuas dgr suara Ariel tu. Saya rasa Halle Bailey tu duyung betul, cantik sgt3 + suara sgt memukau, klu saya kelasi kapal, saya terjun laut dgr suara dia. Lagu dia sdp2. Sebs lawak. Rindu diving tgk laut dia.;;;1;1,67E+18
14/06/2023 16:59;her world Indonesia;556624359;;-1;in;<a href='https://dlvrit.com/' rel='nofollow'>dlvr.it</a>;4 Fakta Menarik Halle Bailey, Sang Pemain The Little Mermaid https://t.co/QSoj1FsAWM https://t.co/j8DT8PFsg4;;;0;1,67E+18
14/06/2023 14:49;?;230063984;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;padahal rumournya udah dibantah, tapi masih aja dibawa-bawa pake source allkpop pula. emang niat awalnya cuma mau giring opini jadi lapak buat hate Jennie aja sih ini, kaya kasus Halle Bailey kemarin https://t.co/Ud7el2KD3L;;;0;1,67E+18
14/06/2023 14:35;Damian.;1,36E+18;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;waktu itu Halle Bailey jadi korban kerasisan followers moviemenfess masalah Little Mermaid eh sekarang nyari korban baru buat dikatain pake embel-embel nanya opini soal Jennie;;;0;1,67E+18
14/06/2023 13:08;Gilang C. Ramadhan;20591742;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;Ezra Miller yg udh ketahuan ngelakuin kriminal masih aja diangkat2 tuh di red carpet The Flash. Halle Bailey kerja bener tapi dicaci udh kayak apaan tau.;;;0;1,67E+18
14/06/2023 12:46;ta ??;1,30E+18;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"Males males tetap ditonton juga ni little mermaid, agak boring sih walaupun acting halle bailey tetep bagus tapi ttp aja Ariel dengan kulit putih dan rambut merah terlalu iconic. Best part cuma bagian nyanyi sih merinding

? 7/10 https://t.co/V9Ho09auGE";;;0;1,67E+18
14/06/2023 10:12;izzarts;1,09E+18;pidotburn;3413789071;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@pidotburn Part Halle Bailey ni dia lawa je. Suara pun sedap. Tpi lakonan dia kayu doh. Mata tak biru. Rambut tak merah. Maleh aque;;;0;1,67E+18
13/06/2023 22:28;Imam Wibowo;52280526;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"Akhirnya sempet jg ntn #TheLittleMermaid
Rob Marshall udh jaminan soal musikal even secara cerita agak beda tipis dr versi ori nya.
Halle Bailey suaranya indah kyk kue soes, surgawi… Tp maaf abang anaknya visual, smp ending ttp aja ga bs lepas ekspektasi sm Ariel versi animasi . https://t.co/uU9nHCKlWU";;;0;1,67E+18
13/06/2023 19:18;Rauziidr;1,58E+18;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"RT @txtfrombrand: Halle Bailey tuh cantiknya cantik yang gorgeous gitu ya buat meranin Ariel di The Little Mermaid.

Sampe directornya, Rob…";;;2;1,67E+18
13/06/2023 19:09;txtdaribrand;2947519148;txtfrombrand;2947519148;in;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"@WatchmenID Halle Bailey, terlepas dari polemiknya kemarin, aktingnya cakep. Adegan tanpa dialog aja kita tetep ngerti dari matanya dia yang ekspresif. Gak heran kalo Eric langsung cinlok gitu.

Kalo dari gue sih itu aja karena gak terlalu ngikutin cerita princess ini, so far menurut kalian… https://t.co/A61wIxz8yQ https://t.co/j5TPWqq8fg";;;0;1,67E+18
13/06/2023 19:00;txtdaribrand;2947519148;;-1;in;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"Halle Bailey tuh cantiknya cantik yang gorgeous gitu ya buat meranin Ariel di The Little Mermaid.

Sampe directornya, Rob Marshall katanya Bailey ini the first person to audition for Ariel, dan langsung fit.
#menyelamilautan https://t.co/b8e4xqH3DR";;;2;1,67E+18
12/06/2023 19:30;nosambatnolyfe;3085764137;aksihvarhpasle;3085764137;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;Halle Bailey deng wkwk salah ketik;;;0;1,67E+18
